,name,location,labels
6717,4795.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
8640,6525.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3353,1767.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
8593,6482.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10861,8524.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
1198,11075.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2948,1400.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11980,9531.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
9521,7318.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6503,4601.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
9017,6865.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8932,6789.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
11768,9340.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2766,12488.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5470,3672.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10599,8289.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10149,7884.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
695,10622.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10965,8618.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7228,5254.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
12075,9617.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
9256,708.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9226,7052.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7234,5259.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1892,1170.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
835,10749.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10476,8178.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8832,6699.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11735,9310.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10732,8408.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
4083,2422.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1479,11328.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
12251,9776.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6537,4631.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
12029,9576.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
12441,9947.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
11994,9544.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
4378,2689.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
6283,4402.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
5748,3922.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
1774,11594.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
5166,3399.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
9281,7101.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1060,10951.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1241,11113.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10475,8177.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
7377,5388.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
6641,4725.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2959,1410.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11720,9298.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11377,899.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
403,1036.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3612,20.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
1203,1108.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
12349,9864.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9410,7218.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
8261,6184.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
756,10678.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
2413,12169.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
3141,1575.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
12078,962.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11859,9422.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9667,745.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11164,8798.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7322,5339.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
2665,12397.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
4854,3117.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
1412,11268.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5076,3317.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
38,10030.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6504,4601.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2372,12131.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
4347,2661.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5933,4088.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1473,11322.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6679,476.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
5297,3515.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
136,10119.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11221,8849.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5660,3843.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
12189,972.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
8864,6727.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5292,3510.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
3665,2047.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
3280,1700.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6063,4204.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2952,1404.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
7343,5357.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1501,11348.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
6362,4474.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1723,11548.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
148,1013.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
5829,3995.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
374,10333.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5741,3915.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
9544,7339.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5922,4078.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
6415,4522.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
2236,1201.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
5697,3877.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
131,10114.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
903,1081.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10826,8493.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10664,8347.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8355,6268.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10674,8356.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
459,1041.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
3537,1932.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10180,7911.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
6981,5031.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7328,5343.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11095,8735.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10972,8624.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
2720,12445.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
10959,8612.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
340,10302.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6912,4970.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
2255,12027.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7467,5469.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
8021,5969.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
10595,8285.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
3658,204.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
7674,5655.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11729,9305.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
4616,2903.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
102,10089.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
106,10092.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
3267,1689.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
1453,11304.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11495,9095.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11450,9054.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
8804,6673.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
1343,11205.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
7273,5295.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
11276,8899.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
12484,9986.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
11914,9472.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
6317,4434.jpg,D:\vijay\happy_monk\datasets\Dog,Dog
11907,9466.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
4157,249.jpg,D:\vijay\happy_monk\datasets\Cat,Cat
